"Supplier Name","Supplier Account","Currency","Settlement Date","Reference","ID","Issue Date","Due Date","Type","Counterparty Name","Discount ID","Activity Type","Remit Type","Remit No","Remit Date","Pay Date","Invoice Tenor","Net Amount","Gross Amount","Adj Amount","Disc Amount","PO No","Doc No","Comment","Adj Code","Add. Info.","Base Rate(%)","Spread Rate(%)","Discount Rate(%)","Discount Tenor","CM Adjusted","CM Adjusted Net Amount","Fee","Charge","Proceeds","Add. Info."
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RT785T200405","2020-04-05","2020-07-06","92","1726.18","1726.18","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1726.18","0.00","9.26","1716.92",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RU155Q200405","2020-04-05","2020-07-06","92","1054.36","1054.36","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1054.36","0.00","5.65","1048.71",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RU7006200405","2020-04-05","2020-07-06","92","1719.92","1719.92","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1719.92","0.00","9.22","1710.70",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RV954P200405","2020-04-05","2020-07-06","92","1394.83","1394.83","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1394.83","0.00","7.48","1387.35",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RW008Q200405","2020-04-05","2020-07-06","92","1297.55","1297.55","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1297.55","0.00","6.96","1290.59",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RX9444200405","2020-04-05","2020-07-06","92","1664.62","1664.62","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1664.62","0.00","8.93","1655.69",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RX362X200405","2020-04-05","2020-07-06","92","1497.06","1497.06","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1497.06","0.00","8.03","1489.03",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RX774G200405","2020-04-05","2020-07-06","92","1885.94","1885.94","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1885.94","0.00","10.11","1875.83",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RX9070200405","2020-04-05","2020-07-06","92","1258.05","1258.05","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1258.05","0.00","6.75","1251.30",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RX355E200405","2020-04-05","2020-07-06","92","1889.92","1889.92","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1889.92","0.00","10.13","1879.79",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RX133R200405","2020-04-05","2020-07-06","92","3205.89","3205.89","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","3205.89","0.00","17.19","3188.70",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RW428F200405","2020-04-05","2020-07-06","92","1652.19","1652.19","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1652.19","0.00","8.86","1643.33",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RX2896200405","2020-04-05","2020-07-06","92","1342.01","1342.01","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1342.01","0.00","7.20","1334.81",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RZ2166200405","2020-04-05","2020-07-06","92","1715.98","1715.98","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1715.98","0.00","9.20","1706.78",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","RZ4726200405","2020-04-05","2020-07-06","92","2034.58","2034.58","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","2034.58","0.00","10.91","2023.67",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SA121H200405","2020-04-05","2020-07-06","92","1664.62","1664.62","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1664.62","0.00","8.93","1655.69",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SA124Q200405","2020-04-05","2020-07-06","92","1042.38","1042.38","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1042.38","0.00","5.59","1036.79",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SA324G200405","2020-04-05","2020-07-06","92","1578.80","1578.80","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1578.80","0.00","8.47","1570.33",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SB150J200405","2020-04-05","2020-07-06","92","1348.35","1348.35","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1348.35","0.00","7.23","1341.12",""
"AMERIT FLEET SOLUTIONS INC","1769959401","USD","2020-04-10","1716996_20","51319490","2020-04-09","2020-07-06","PAYMENT NOTIFICATION","AT AND T","7258538","DISCOUNT","IV","SB399U200405","2020-04-05","2020-07-06","92","1802.89","1802.89","0.00","0.00","","","","","","1.22","1.00","2.22","87","0.00","1802.89","0.00","9.67","1793.22",""
